Phoneme_L1_1-1 fast
Phoneme_L1_68-2 zed
Phoneme_L1_69-1 sawn
Phoneme_L1_69-2 zone
Phoneme_L1_70-1 seal
Phoneme_L1_70-2 zeal
Phoneme_L1_71-1 cyst
Phoneme_L1_71-2 zest
Phoneme_L1_72-1 looser
Phoneme_L1_72-2 loser
Phoneme_L1_73-1 lacy
Phoneme_L1_73-2 lazy
Phoneme_L1_74-1 buses
Phoneme_L1_74-2 buzzes
Phoneme_L1_75-1 fussy
Phoneme_L1_75-2 fuzzy
Phoneme_L1_76-1 racing
Phoneme_L1_76-2 raising
Phoneme_L1_77-1 place
Phoneme_L1_77-2 plays
Phoneme_L1_78-1 coarse
Phoneme_L1_78-2 cause
Phoneme_L1_79-1 loose
Phoneme_L1_79-2 lose
Phoneme_L1_80-1 niece
Phoneme_L1_80-2 knees
Phoneme_L1_81-1 price
Phoneme_L1_81-2 prize
Phoneme_L1_82-1 hearse
Phoneme_L1_82-2 hers
Phoneme_L1_83-1 bus
Phoneme_L1_83-2 busy
Phoneme_L1_84-1 ass
Phoneme_L1_84-2 as
Phoneme_L1_85-1 hiss
Phoneme_L1_85-2 his
Phoneme_L1_86-1 sink
Phoneme_L1_86-2 thin
Phoneme_L1_87-1 sing
Phoneme_L1_87-2 thing
Phoneme_L1_88-1 sink
Phoneme_L1_88-2 think
Phoneme_L1_89-1 sort
Phoneme_L1_89-2 thought
Phoneme_L1_90-1 sum
Phoneme_L1_90-2 thumb
Phoneme_L1_91-1 sigh
Phoneme_L1_91-2 thigh
Phoneme_L1_92-1 mouse
Phoneme_L1_92-2 mouth
Phoneme_L1_93-1 moss
Phoneme_L1_93-2 mother
Phoneme_L1_94-1 force
Phoneme_L1_94-2 fourth
Phoneme_L1_95-1 face
Phoneme_L1_95-2 faith
Phoneme_L1_96-1 pass
Phoneme_L1_96-2 path
Phoneme_L1_97-1 worse
Phoneme_L1_97-2 worth
Phoneme_L1_98-1 zoo
Phoneme_L1_98-2 though
Phoneme_L1_99-1 breeze
Phoneme_L1_99-2 breathe
Phoneme_L1_100-1 rise
Phoneme_L1_100-2 writhe
Phoneme_L1_101-1 teasing
Phoneme_L1_101-2 teething
Phoneme_L1_102-1 zed
Phoneme_L1_102-2 then
Phoneme_L1_103-1 close
Phoneme_L1_103-2 clothe
Phoneme_L1_104-1 lays
Phoneme_L1_104-2 lathe
Phoneme_L1_105-1 closing
Phoneme_L1_105-2 clothing
Phoneme_L1_106-1 miser
Phoneme_L1_106-2 neither
Phoneme_L1_107-1 moth
Phoneme_L1_107-2 moss
Phoneme_L1_108-1 myth
Phoneme_L1_108-2 miss
Phoneme_L1_109-1 fourth
Phoneme_L1_109-2 force
Phoneme_L1_110-1 breathe
Phoneme_L1_110-2 breeze
Phoneme_L1_111-1 write
Phoneme_L1_111-2 rise
Phoneme_L1_112-1 so
Phoneme_L1_112-2 show
Phoneme_L1_113-1 sock
Phoneme_L1_113-2 shock
Phoneme_L1_114-1 sort
Phoneme_L1_114-2 short
Phoneme_L1_115-1 person
Phoneme_L1_115-2 Persian
Phoneme_L1_116-1 listen
Phoneme_L1_116-2 mission
Phoneme_L1_117-1 lease
Phoneme_L1_117-2 leash
Phoneme_L1_118-1 mess
Phoneme_L1_118-2 mesh
Phoneme_L1_119-1 sign
Phoneme_L1_119-2 shy
Phoneme_L1_120-1 see
Phoneme_L1_120-2 she
Phoneme_L1_121-1 same
Phoneme_L1_121-2 shame
Phoneme_L1_122-1 missing
Phoneme_L1_122-2 wishing
Phoneme_L1_123-1 ass
Phoneme_L1_123-2 ash
Phoneme_L1_124-1 risen
Phoneme_L1_124-2 vision
Phoneme_L1_125-1 raisin
Phoneme_L1_125-2 invasion
Phoneme_L1_126-1 ruse
Phoneme_L1_126-2 rouge
Phoneme_L1_127-1 razor
Phoneme_L1_127-2 erasure
Phoneme_L1_128-1 rose
Phoneme_L1_128-2 closure
Phoneme_L1_129-1 bays
Phoneme_L1_129-2 beige
Phoneme_L1_130-1 precious
Phoneme_L1_130-2 treasure
Phoneme_L1_131-1 nation
Phoneme_L1_131-2 invasion
Phoneme_L1_132-1 condition
Phoneme_L1_132-2 decision
Phoneme_L1_133-1 pressure
Phoneme_L1_133-2 measure
Phoneme_L1_134-1 relation
Phoneme_L1_134-2 occasion
Phoneme_L1_135-1 harm
Phoneme_L1_135-2 arm
Phoneme_L1_136-1 hedge
Phoneme_L1_136-2 edge
Phoneme_L1_137-1 hair
Phoneme_L1_137-2 air
Phoneme_L1_138-1 heat
Phoneme_L1_138-2 eat
Phoneme_L1_139-1 hall
Phoneme_L1_139-2 all
Phoneme_L1_140-1 hill
Phoneme_L1_140-2 ill
Phoneme_L1_141-1 hear
Phoneme_L1_141-2 ear
Phoneme_L2_1-1 peak
Phoneme_L2_1-2 beak
Phoneme_L2_2-1 pack
Phoneme_L2_2-2 back
Phoneme_L2_3-1 port
Phoneme_L2_3-2 bought
Phoneme_L2_4-1 pride
Phoneme_L2_4-2 bride
Phoneme_L2_5-1 pit
Phoneme_L2_5-2 bit
Phoneme_L2_6-1 park
Phoneme_L2_6-2 bark
Phoneme_L2_7-1 pull
Phoneme_L2_7-2 bull
Phoneme_L2_8-1 plays
Phoneme_L2_8-2 blaze
Phoneme_L2_9-1 happy
Phoneme_L2_9-2 shabby
Phoneme_L2_10-1 paper
Phoneme_L2_10-2 labour
Phoneme_L2_11-1 simple
Phoneme_L2_11-2 symbol
Phoneme_L2_12-1 supper
Phoneme_L2_12-2 rubber
Phoneme_L2_13-1 repel
Phoneme_L2_13-2 rebel
Phoneme_L2_14-1 apply
Phoneme_L2_14-2 oblige
Phoneme_L2_15-1 marble
Phoneme_L2_15-2 marvel
Phoneme_L2_16-1 labour
Phoneme_L2_16-2 favour
Phoneme_L2_17-1 habit
Phoneme_L2_17-2 have-it
Phoneme_L2_18-1 rib
Phoneme_L2_18-2 give
Phoneme_L2_19-1 tribe
Phoneme_L2_19-2 drive
Phoneme_L2_20-1 ribbon
Phoneme_L2_20-2 river
Phoneme_L2_21-1 rubber
Phoneme_L2_21-2 lover
Phoneme_L2_22-1 baby
Phoneme_L2_22-2 navy
Phoneme_L2_23-1 cab
Phoneme_L2_23-2 have
Phoneme_L2_24-1 club
Phoneme_L2_24-2 glove
Phoneme_L2_25-1 rip
Phoneme_L2_25-2 rib
Phoneme_L2_26-1 rope
Phoneme_L2_26-2 robe
Phoneme_L2_27-1 tap
Phoneme_L2_27-2 tab
Phoneme_L2_28-1 cap
Phoneme_L2_28-2 cab
Phoneme_L2_29-1 tripe
Phoneme_L2_29-2 tribe
Phoneme_L2_30-1 wrap
Phoneme_L2_30-2 grab
Phoneme_L2_31-1 two
Phoneme_L2_31-2 do
Phoneme_L2_32-1 ten
Phoneme_L2_32-2 den
Phoneme_L2_33-1 ton
Phoneme_L2_33-2 done
Phoneme_L2_34-1 tune
Phoneme_L2_34-2 dune
Phoneme_L2_35-1 torn
Phoneme_L2_35-2 dawn
Phoneme_L2_36-1 tie
Phoneme_L2_36-2 die
Phoneme_L2_37-1 town
Phoneme_L2_37-2 down
Phoneme_L2_38-1 twin
Phoneme_L2_38-2 dwindle
Phoneme_L2_39-1 writer
Phoneme_L2_39-2 rider
Phoneme_L2_40-1 latter
Phoneme_L2_40-2 ladder
Phoneme_L2_41-1 whitish
Phoneme_L2_41-2 widish
Phoneme_L2_42-1 wetting
Phoneme_L2_42-2 wedding
Phoneme_L2_43-1 water
Phoneme_L2_43-2 warder
Phoneme_L2_44-1 putting
Phoneme_L2_44-2 pudding
Phoneme_L2_45-1 breeding
Phoneme_L2_45-2 breathing
Phoneme_L2_46-1 loading
Phoneme_L2_46-2 loathing
Phoneme_L2_47-1 ladder
Phoneme_L2_47-2 lather
Phoneme_L2_48-1 side
Phoneme_L2_48-2 scythe
Phoneme_L2_49-1 bet
Phoneme_L2_49-2 bed
Phoneme_L2_50-1 late
Phoneme_L2_50-2 laid
Phoneme_L2_51-1 set
Phoneme_L2_51-2 said
Phoneme_L2_52-1 heart
Phoneme_L2_52-2 hard
Phoneme_L2_53-1 sight
Phoneme_L2_53-2 side
Phoneme_L2_54-1 brought
Phoneme_L2_54-2 broad
Phoneme_L2_55-1 cave
Phoneme_L2_55-2 gave
Phoneme_L2_56-1 curl
Phoneme_L2_56-2 girl
Phoneme_L2_57-1 cap
Phoneme_L2_57-2 gap
Phoneme_L2_58-1 class
Phoneme_L2_58-2 glass
Phoneme_L2_59-1 card
Phoneme_L2_59-2 guard
Phoneme_L2_60-1 could
Phoneme_L2_60-2 good
Phoneme_L2_61-1 coal
Phoneme_L2_61-2 goal
Phoneme_L2_62-1 crow
Phoneme_L2_62-2 grow
Phoneme_L2_63-1 licking
Phoneme_L2_63-2 digging
Phoneme_L2_64-1 weaker
Phoneme_L2_64-2 eager
Phoneme_L2_65-1 market
Phoneme_L2_65-2 target
Phoneme_L2_66-1 lacking
Phoneme_L2_66-2 lagging
Phoneme_L2_67-1 thicker
Phoneme_L2_67-2 trigger
Phoneme_L2_68-1 ankle
Phoneme_L2_68-2 angle
Phoneme_L2_69-1 pick
Phoneme_L2_69-2 pig
Phoneme_L2_70-1 back
Phoneme_L2_70-2 bag
Phoneme_L2_71-1 lake
Phoneme_L2_71-2 plague
Phoneme_L2_72-1 dock
Phoneme_L2_72-2 dog
Phoneme_L2_73-1 lock
Phoneme_L2_73-2 log
Phoneme_L2_74-1 broke
Phoneme_L2_74-2 rogue
Phoneme_L2_75-1 chin
Phoneme_L2_75-2 gin
Phoneme_L2_76-1 cheer
Phoneme_L2_76-2 jeer
Phoneme_L2_77-1 choke
Phoneme_L2_77-2 joke
Phoneme_L2_78-1 chest
Phoneme_L2_78-2 jest
Phoneme_L2_79-1 choice
Phoneme_L2_79-2 joyce
Phoneme_L2_80-1 riches
Phoneme_L2_80-2 ridges
Phoneme_L2_81-1 catching
Phoneme_L2_81-2 cadging
Phoneme_L2_82-1 fetching
Phoneme_L2_82-2 edging
Phoneme_L2_83-1 batches
Phoneme_L2_83-2 badges
Phoneme_L2_84-1 watching
Phoneme_L2_84-2 lodging
Phoneme_L2_85-1 kitchen
Phoneme_L2_85-2 pigeon
Phoneme_L2_86-1 rich
Phoneme_L2_86-2 ridge
Phoneme_L2_87-1 search
Phoneme_L2_87-2 surge
Phoneme_L2_88-1 fetch
Phoneme_L2_88-2 edge
Phoneme_L2_89-1 catch
Phoneme_L2_89-2 cadge
Phoneme_L2_90-1 watch
Phoneme_L2_90-2 lodge
Phoneme_L2_91-1 H
Phoneme_L2_91-2 age
Phoneme_L2_92-1 shoe
Phoneme_L2_92-2 chew
Phoneme_L2_93-1 washing
Phoneme_L2_93-2 watching
Phoneme_L2_94-1 wish
Phoneme_L2_94-2 witch
Phoneme_L2_95-1 leisure
Phoneme_L2_95-2 ledge
Phoneme_L2_96-1 shop
Phoneme_L2_96-2 chop
Phoneme_L2_97-1 cashing
Phoneme_L2_97-2 catching
Phoneme_L2_98-1 cash
Phoneme_L2_98-2 catch
Phoneme_L2_99-1 measure
Phoneme_L2_99-2 major
Phoneme_L3_1-1 sin
Phoneme_L3_1-2 sing
Phoneme_L3_2-1 ran
Phoneme_L3_2-2 rang
Phoneme_L3_3-1 tons
Phoneme_L3_3-2 tongue
Phoneme_L3_4-1 son
Phoneme_L3_4-2 sung
Phoneme_L3_5-1 him
Phoneme_L3_5-2 tin
Phoneme_L3_6-1 room
Phoneme_L3_6-2 soon
Phoneme_L3_7-1 games
Phoneme_L3_7-2 sins
Phoneme_L3_8-1 limp
Phoneme_L3_8-2 find
Phoneme_L3_9-1 lamb
Phoneme_L3_9-2 send
Phoneme_L3_10-1 hone
Phoneme_L3_10-2 home
Phoneme_L3_11-1 cane
Phoneme_L3_11-2 came
Phoneme_L3_12-1 Nane
Phoneme_L3_12-2 name
Phoneme_L3_13-1 sane
Phoneme_L3_13-2 same
Phoneme_L3_14-1 Han
Phoneme_L3_14-2 ham
Phoneme_L3_15-1 cuns
Phoneme_L3_15-2 comes
Phoneme_L4_1-1 low
Phoneme_L4_1-2 no
Phoneme_L4_2-1 light
Phoneme_L4_2-2 night
Phoneme_L4_3-1 let
Phoneme_L4_3-2 net
Phoneme_L4_4-1 lead
Phoneme_L4_4-2 need
Phoneme_L4_5-1 labour
Phoneme_L4_5-2 neighbour
Phoneme_L4_6-1 lip
Phoneme_L4_6-2 nip
Phoneme_L4_7-1 verse
Phoneme_L4_7-2 worse
Phoneme_L4_8-1 veal
Phoneme_L4_8-2 wheel
Phoneme_L4_9-1 vary
Phoneme_L4_9-2 wary
Phoneme_L4_10-1 reward
Phoneme_L4_10-2 reveal
Phoneme_L4_11-1 forward
Phoneme_L4_11-2 hovered
Phoneme_L4_12-1 vine
Phoneme_L4_12-2 wine
Phoneme_L4_13-1 vile
Phoneme_L4_13-2 while
Phoneme_L4_14-1 veil
Phoneme_L4_14-2 wail
Phoneme_L4_15-1 away
Phoneme_L4_15-2 avail
Phoneme_L4_16-1 light
Phoneme_L4_16-2 night
Phoneme_L4_17-1 lead
Phoneme_L4_17-2 need
Phoneme_L4_18-1 lock
Phoneme_L4_18-2 knock
Phoneme_L4_19-1 belly
Phoneme_L4_19-2 Bennie
Phoneme_L4_20-1 call-us
Phoneme_L4_20-2 corners
Phoneme_L4_21-1 spill-it
Phoneme_L4_21-2 spin-it
Phoneme_L4_22-1 teller
Phoneme_L4_22-2 tenor
Phoneme_L4_23-1 true
Phoneme_L4_23-2 chew
Phoneme_L4_24-1 train
Phoneme_L4_24-2 chain
Phoneme_L4_25-1 trip
Phoneme_L4_25-2 chip
Phoneme_L4_26-1 trap
Phoneme_L4_26-2 chap
Phoneme_L4_27-1 drain
Phoneme_L4_27-2 Jane
Phoneme_L4_28-1 drew
Phoneme_L4_28-2 Jew
Phoneme_L4_29-1 draw
Phoneme_L4_29-2 jaw
Phoneme_L4_30-1 drunk
Phoneme_L4_30-2 junk
Phoneme_L5_1-1 you
Phoneme_L5_1-2 your
Phoneme_L5_2-1 yacht
Phoneme_L5_2-2 yet
Phoneme_L5_3-1 due
Phoneme_L5_3-2 few
Phoneme_L5_4-1 new
Phoneme_L5_4-2 view
Phoneme_L5_5-1 Tuesday
Phoneme_L5_5-2 computer
Phoneme_L5_6-1 tune
Phoneme_L5_6-2 queue
Phoneme_L5_7-1 pure
Phoneme_L5_7-2 accrue
Phoneme_L5_8-1 watch
Phoneme_L5_8-2 win
Phoneme_L5_9-1 wet
Phoneme_L5_9-2 we
Phoneme_L5_10-1 white
Phoneme_L5_10-2 wait
Phoneme_L5_11-1 bill
Phoneme_L5_11-2 feel
Phoneme_L5_12-1 owl
Phoneme_L5_12-2 oil
Phoneme_L5_13-1 fools
Phoneme_L5_13-2 belt
Phoneme_L5_14-1 called
Phoneme_L5_14-2 pulls
Phoneme_L5_15-1 tail
Phoneme_L5_15-2 mile
Phoneme_L5_16-1 leaf
Phoneme_L5_16-2 letter
Phoneme_L5_17-1 lost
Phoneme_L5_17-2 loose
Phoneme_L5_18-1 spy
Phoneme_L5_18-2 spur
Phoneme_L5_19-1 spear
Phoneme_L5_19-2 spare
Phoneme_L5_20-1 stay
Phoneme_L5_20-2 star
Phoneme_L5_21-1 store
Phoneme_L5_21-2 steer
Phoneme_L5_22-1 sky
Phoneme_L5_22-2 scar
Phoneme_L5_23-1 score
Phoneme_L5_23-2 scare
Phoneme_L5_24-1 sphere
Phoneme_L5_24-2 spherical
Phoneme_L5_25-1 smile
Phoneme_L5_25-2 smoke
Phoneme_L5_26-1 smell
Phoneme_L5_26-2 smear
Phoneme_L5_27-1 snow
Phoneme_L5_27-2 snore
Phoneme_L5_28-1 slow
Phoneme_L5_28-2 shy
Phoneme_L5_29-1 snake
Phoneme_L5_29-2 snack
Phoneme_L5_30-1 slip
Phoneme_L5_30-2 slack
Phoneme_L5_31-1 sweet
Phoneme_L5_31-2 sway
Phoneme_L5_32-1 swan
Phoneme_L5_32-2 swoop
Phoneme_L5_33-1 suit
Phoneme_L5_33-2 sue
Phoneme_L5_34-1 assume
Phoneme_L5_34-2 pursue
Phoneme_L5_35-1 play
Phoneme_L5_35-2 pray
Phoneme_L5_36-1 twice
Phoneme_L5_36-2 tune
Phoneme_L5_37-1 quite
Phoneme_L5_37-2 cure
Phoneme_L5_38-1 beauty
Phoneme_L5_38-2 dress
Phoneme_L5_39-1 glass
Phoneme_L5_39-2 green
Phoneme_L5_40-1 pure
Phoneme_L5_40-2 try
Phoneme_L5_41-1 climb
Phoneme_L5_41-2 cry
Phoneme_L5_42-1 blow
Phoneme_L5_42-2 bread
Phoneme_L5_43-1 dwell
Phoneme_L5_43-2 duty
Phoneme_L5_44-1 fly
Phoneme_L5_44-2 from
Phoneme_L5_45-1 music
Phoneme_L5_45-2 new
Phoneme_L5_46-1 throw
Phoneme_L5_46-2 three
Phoneme_L5_47-1 thread
Phoneme_L5_47-2 threw
Phoneme_L5_48-1 shrink
Phoneme_L5_48-2 shred
Phoneme_L5_49-1 shrill
Phoneme_L5_49-2 shrewd
Phoneme_L5_50-1 spread
Phoneme_L5_50-2 stupid
Phoneme_L5_51-1 straight
Phoneme_L5_51-2 skewed
Phoneme_L5_52-1 screw
Phoneme_L5_52-2 splendid
Phoneme_L5_53-1 spurious
Phoneme_L5_53-2 square
Phoneme_L5_54-1 slept
Phoneme_L5_54-2 interrupts
Phoneme_L5_55-1 contacts
Phoneme_L5_55-2 reacts
Phoneme_L5_56-1 adopts
Phoneme_L5_56-2 protects
Phoneme_L5_57-1 written
Phoneme_L5_57-2 Britain
Phoneme_L5_58-1 hidden
Phoneme_L5_58-2 burden
Phoneme_L5_59-1 certain
Phoneme_L5_59-2 frighten
Phoneme_L5_60-1 pardon
Phoneme_L5_60-2 wooden
Phoneme_L5_61-1 loudness
Phoneme_L5_61-2 partner
Phoneme_L5_62-1 whiteness
Phoneme_L5_62-2 witness
Phoneme_L5_63-1 sadness
Phoneme_L5_63-2 kidney
Phoneme_L5_64-1 pardoned
Phoneme_L5_64-2 riddance
Phoneme_L5_65-1 gardens
Phoneme_L5_65-2 shortened
Phoneme_L5_66-1 utmost
Phoneme_L5_66-2 atmosphere
Phoneme_L5_67-1 excitement
Phoneme_L5_67-2 admire
Phoneme_L5_68-1 admit
Phoneme_L5_68-2 oddment
Phoneme_L5_69-1 acknowledge
Phoneme_L5_69-2 fragment
Phoneme_L5_70-1 middle
Phoneme_L5_70-2 muddle
Phoneme_L5_71-1 battle
Phoneme_L5_71-2 little
Phoneme_L5_72-1 huddled
Phoneme_L5_72-2 models
Phoneme_L5_73-1 titles
Phoneme_L5_73-2 mottled
Phoneme_L5_74-1 curdled
Phoneme_L5_74-2 battles
Phoneme_L5_75-1 panel
Phoneme_L5_75-2 unless
Phoneme_L5_76-1 tunnel
Phoneme_L5_76-2 Finland
Phoneme_L5_77-1 cups
Phoneme_L5_77-2 weaks
Phoneme_L5_78-1 jobs
Phoneme_L5_78-2 dams
Phoneme_L5_79-1 eggs
Phoneme_L5_79-2 songs
Phoneme_L5_80-1 laughed
Phoneme_L5_80-2 washed
Phoneme_L5_81-1 proved
Phoneme_L5_81-2 seemed
Phoneme_L5_82-1 gazed
Phoneme_L5_82-2 banged
Phoneme_L5_83-1 cats
Phoneme_L5_83-2 laughs
Phoneme_L5_84-1 goods
Phoneme_L5_84-2 turns
Phoneme_L5_85-1 drivers
Phoneme_L5_85-2 wells
Phoneme_L5_86-1 missed
Phoneme_L5_86-2 watched
Phoneme_L5_87-1 judged
Phoneme_L5_87-2 jilted
Phoneme_L5_88-1 eighth
Phoneme_L5_88-2 fifth
Phoneme_L5_89-1 breadth
Phoneme_L5_89-2 length
Phoneme_L5_90-1 tenth
Phoneme_L5_90-2 width
Phoneme_L5_91-1 health
Phoneme_L5_91-2 hundredth
Phoneme_L5_92-1 strength
Phoneme_L5_92-2 twelfth
Phoneme_L5_93-1 help
Phoneme_L5_93-2 fault
Phoneme_L5_94-1 else
Phoneme_L5_94-2 welsh
Phoneme_L5_95-1 film
Phoneme_L5_95-2 help
Phoneme_L5_96-1 milk
Phoneme_L5_96-2 shelf
Phoneme_L5_97-1 shelve
Phoneme_L5_97-2 bulge
Phoneme_L5_98-1 sense
Phoneme_L5_98-2 jump
Phoneme_L5_99-1 punch
Phoneme_L5_99-2 thank
Phoneme_L5_100-1 revenge
Phoneme_L5_100-2 triumph
Phoneme_L6_1-1 lead
Phoneme_L6_1-2 lid
Phoneme_L6_1-3 led
Phoneme_L6_2-1 wheat
Phoneme_L6_2-2 wit
Phoneme_L6_2-3 wet
Phoneme_L6_3-1 been
Phoneme_L6_3-2 bin
Phoneme_L6_3-3 Ben
Phoneme_L6_4-1 cheek
Phoneme_L6_4-2 chick
Phoneme_L6_4-3 check
Phoneme_L6_5-1 feel
Phoneme_L6_5-2 fill
Phoneme_L6_5-3 fell
Phoneme_L6_6-1 reach
Phoneme_L6_6-2 rich
Phoneme_L6_6-3 wretch
Phoneme_L6_7-1 ten
Phoneme_L6_7-2 tan
Phoneme_L6_7-3 ton
Phoneme_L6_8-1 bet
Phoneme_L6_8-2 bat
Phoneme_L6_8-3 but
Phoneme_L6_9-1 pen
Phoneme_L6_9-2 pan
Phoneme_L6_9-3 pun
Phoneme_L6_10-1 six
Phoneme_L6_10-2 sacks
Phoneme_L6_10-3 sucks
Phoneme_L6_11-1 dead
Phoneme_L6_11-2 dad
Phoneme_L6_11-3 dud
Phoneme_L6_12-1 mesh
Phoneme_L6_12-2 mash
Phoneme_L6_12-3 mush
Phoneme_L6_13-1 luck
Phoneme_L6_13-2 lark
Phoneme_L6_13-3 lock
Phoneme_L6_14-1 cud
Phoneme_L6_14-2 card
Phoneme_L6_14-3 cod
Phoneme_L6_15-1 duck
Phoneme_L6_15-2 dark
Phoneme_L6_15-3 dock
Phoneme_L6_16-1 bucks
Phoneme_L6_16-2 barks
Phoneme_L6_16-3 box
Phoneme_L6_17-1 cup
Phoneme_L6_17-2 carp
Phoneme_L6_17-3 cop
Phoneme_L6_18-1 wad
Phoneme_L6_18-2 ward
Phoneme_L6_18-3 would
Phoneme_L6_18-4 wooed
Phoneme_L6_19-1 lock
Phoneme_L6_19-2 look
Phoneme_L6_19-3 luke
Phoneme_L6_20-1 poll
Phoneme_L6_20-2 Paul
Phoneme_L6_20-3 pull
Phoneme_L6_20-4 pool
Phoneme_L6_21-1 leak
Phoneme_L6_21-2 lick
Phoneme_L6_21-3 lack
Phoneme_L6_21-4 luck
Phoneme_L6_22-1 heel
Phoneme_L6_22-2 hill
Phoneme_L6_22-3 hell
Phoneme_L6_22-4 hall
Phoneme_L6_23-1 teen
Phoneme_L6_23-2 tin
Phoneme_L6_23-3 ten
Phoneme_L6_23-4 tan
Phoneme_L6_23-5 ton
Phoneme_L6_24-1 neat
Phoneme_L6_24-2 knit
Phoneme_L6_24-3 net
Phoneme_L6_24-4 gnat
Phoneme_L6_24-5 nut
Phoneme_L6_25-1 least
Phoneme_L6_25-2 list
Phoneme_L6_25-3 lest
Phoneme_L6_25-4 lust
Phoneme_L6_26-1 ream
Phoneme_L6_26-2 rim
Phoneme_L6_26-3 ram
Phoneme_L6_26-4 rum
Phoneme_L6_27-1 beat
Phoneme_L6_27-2 bit
Phoneme_L6_27-3 bet
Phoneme_L6_27-4 bat
Phoneme_L6_27-5 but
Phoneme_L6_28-1 purse
Phoneme_L6_28-2 pass
Phoneme_L6_29-1 heard
Phoneme_L6_29-2 hard
